"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"2128_2--GBUS25F_0","1","12b","Drongen Varendries - Korenmarkt - P+R Oostakker - Oostakker","Drongen Varendries - Korenmarkt - P+R Oostakker - Oostakker","3","https://www.delijn.be/nl/lijnen/2128/?richtingCode=0","C8D300","000000"
"2128_2--GBUS25F_1","1","12b","Oostakker - P+R Oostakker - Korenmarkt - Drongen Varendries","Oostakker - P+R Oostakker - Korenmarkt - Drongen Varendries","3","https://www.delijn.be/nl/lijnen/2128/?richtingCode=1","C8D300","000000"
"2128_2--GBUS26A_0","1","12b","Drongen Varendries - Korenmarkt - P+R Oostakker - Oostakker","Drongen Varendries - Korenmarkt - P+R Oostakker - Oostakker","3","https://www.delijn.be/nl/lijnen/2128/?richtingCode=0","C8D300","000000"
"2128_2--GBUS26A_1","1","12b","Oostakker - P+R Oostakker - Korenmarkt - Drongen Varendries","Oostakker - P+R Oostakker - Korenmarkt - Drongen Varendries","3","https://www.delijn.be/nl/lijnen/2128/?richtingCode=1","C8D300","000000"
"2131_2--AVA-25P_0","1","131","Geraardsbergen - Lierde - Zottegem","Geraardsbergen - Lierde - Zottegem","3","https://www.delijn.be/nl/lijnen/2131/?richtingCode=0","FFFFFF","B59E6A"
"2131_2--AVA-25P_1","1","131","Zottegem - Lierde - Geraardsbergen","Zottegem - Lierde - Geraardsbergen","3","https://www.delijn.be/nl/lijnen/2131/?richtingCode=1","FFFFFF","B59E6A"
"2131_2--AVA-26A_0","1","131","Geraardsbergen - Lierde - Zottegem","Geraardsbergen - Lierde - Zottegem","3","https://www.delijn.be/nl/lijnen/2131/?richtingCode=0","FFFFFF","B59E6A"
"2131_2--AVA-26A_1","1","131","Zottegem - Lierde - Geraardsbergen","Zottegem - Lierde - Geraardsbergen","3","https://www.delijn.be/nl/lijnen/2131/?richtingCode=1","FFFFFF","B59E6A"
"2161_2--GEN-25O_0","1","16","Zuid - Macharius - Sint-Baafskouter","Zuid - Macharius - Sint-Baafskouter","3","https://www.delijn.be/nl/lijnen/2161/?richtingCode=0","69C0AC","000000"
"2161_2--GEN-25O_1","1","16","Sint-Baafskouter - Macharius - Zuid","Sint-Baafskouter - Macharius - Zuid","3","https://www.delijn.be/nl/lijnen/2161/?richtingCode=1","69C0AC","000000"
"2161_2--GEN-26A_0","1","16","Zuid - Macharius - Sint-Baafskouter","Zuid - Macharius - Sint-Baafskouter","3","https://www.delijn.be/nl/lijnen/2161/?richtingCode=0","69C0AC","000000"
"2161_2--GEN-26A_1","1","16","Sint-Baafskouter - Macharius - Zuid","Sint-Baafskouter - Macharius - Zuid","3","https://www.delijn.be/nl/lijnen/2161/?richtingCode=1","69C0AC","000000"
